country,fert_rate,gdp,health_exp_per_cap,health_exp_pub,prim_ed_girls,mat_mort_ratio,population
Sub-Saharan Africa (excluding high income),5.01004510067713,1633646272717.8179,194.934956497322,2.43967154480588,47.60932668050126,566.75,979134223.8217016
Sudan,4.3877500000000005,83016731767.42091,272.97578646666665,1.8446503945348365,46.56097412109375,321.0,37760930.8
Suriname,2.37325,4773159015.765863,967.8886274299999,3.1196826087520098,48.41834926605225,157.5,547824.2
Swaziland,3.302,4346816542.9974,570.4680576100001,6.891502235769579,47.52440643310546,400.5,1295364.0
Sweden,1.89,540626904309.505,5134.5721130033335,10.010743543078172,49.60657787322998,4.0,9703634.2
Switzerland,1.53,676642358783.4814,6335.436387973333,7.642569254707826,48.5563278198242,5.25,8185870.0
Syrian Arab Republic,2.96775,,269.9457394566667,1.5071657940034502,48.0473937988281,62.0,19319674.4
Tajikistan,3.49575,8036228249.158343,169.74596961666666,1.97636710488105,48.260680389404286,33.25,8363843.6
Tanzania,5.18125,44935541798.936874,131.70416161333333,2.64860900892141,50.6665802001953,429.5,52281323.8
Thailand,1.5167499999999998,406136903563.3878,581.9274869912847,3.1838418769340464,48.213033676147454,21.0,68384986.0
Timor-Leste,5.797750000000001,1361429650.0,98.57729620666667,1.1404404555964962,48.3373670578003,240.25,1212717.6
Togo,4.62,4183610270.151676,71.26382493666667,2.03780850710827,48.27047061920165,380.75,7230904.2
Tonga,3.74575,439178882.6101096,250.96250386666665,3.98728453323454,47.697930653890005,129.25,105909.4
Trinidad and Tobago,1.78275,24570947009.55452,1778.1480727033334,3.071370215589703,,63.25,1353876.6
Tunisia,2.1399999999999997,44824373955.845215,782.9505216133333,4.118770771623683,48.14213180541989,63.25,11144408.6
Turkey,2.078,895175576567.9473,997.3747721866666,4.189520726094493,48.78947734832763,17.5,77034345.2
Turkmenistan,2.31375,37973095839.599,288.57264374000005,1.3493030628425566,48.9068794250488,43.5,5465637.0
Turks and Caicos Islands,,,,,48.84688377380375,,33703.4
Tuvalu,,36469991.26073269,563.5005917766666,15.506929184673766,47.47241401672365,,10910.0
Uganda,5.8225,25941460671.399586,132.8926844066667,2.01434911830823,50.0994853973389,366.5,38865339.0
Ukraine,1.51025,135379275129.6947,628.5792541533334,3.9601854887442927,48.98419761657715,24.25,45302704.2
United Arab Emirates,1.7930000000000001,375027082337.39197,2202.4075691900002,2.5811678517954797,48.7892599105835,6.0,9080299.4
United Kingdom,1.8425000000000002,2768864416903.352,3357.98367464,7.720654755569743,48.79180908203123,9.25,64641557.2
United States,1.860875,17369124600000.0,9060.068657203336,8.12196076488071,48.75883007049557,14.0,318558174.8
Upper middle income,1.7952443386478876,20974414756839.336,870.8975122360927,3.3581528201369935,47.112001419067376,43.25,2540966343.4217
Uruguay,2.0269999999999997,54345132295.67844,1721.5077522233332,6.04440273656012,48.295555114746044,15.5,3419977.2
Uzbekistan,2.37275,61340648737.888794,334.4767535866667,3.1188419869044797,48.387434387207044,37.0,30784500.0
Vanuatu,3.36475,782875952.7813631,125.56871201666667,3.6898736920425095,47.3016166687012,82.5,258896.4
"Venezuela, RB",2.37825,376146268483.9555,896.8153135466667,1.5870876871410466,48.40093421936032,97.0,30734523.8
Vietnam,1.9595,181820736422.6802,368.37454959,3.7795012695747396,48.02105331420897,54.75,90742400.0
Virgin Islands (U.S.),1.76,3812000000.0,,,,,104141.4
West Bank and Gaza,4.208,12508220000.0,,,48.828519821167,47.5,4296959.6
World,2.4642819158340123,76130063627926.0,1223.9412428845533,5.947058149280373,48.07657527923585,223.75,7269320589.0217
"Yemen, Rep.",4.22575,36819336504.56732,207.94969981666668,1.4178362585090734,44.4700756072998,399.75,26246607.6
Zambia,5.3942499999999995,24280989919.565002,185.55635888666666,2.6872899078255137,49.93448448181155,233.75,15633219.6
